Query ID	Predicted EC number
XP_025581582.1	EC:3.6.4.12
XP_025581583.1	EC:3.6.4.12
XP_025581592.1	EC:5.4.2.8
XP_025581598.1	EC:2.7.13.3
XP_025581602.1	EC:2.7.11.1
XP_025581606.1	EC:2.7.4.14
XP_025581610.1	EC:1.5.1.20
XP_025581611.1	EC:6.1.1.4
XP_025581623.2	EC:3.1.3.16
XP_025581627.2	EC:3.6.4.12
XP_025581643.2	EC:2.3.2.27
XP_025581669.2	EC:1.4.1.4
XP_025581677.2	EC:5.3.4.1
XP_025581687.1	EC:1.1.1.38
XP_025581702.2	EC:5.4.99.12
XP_025581717.1	EC:3.6.4.3
XP_025581721.2	EC:2.3.1.179
XP_025581729.2	EC:3.1.3.16
XP_025581751.1	EC:2.3.1.48
XP_025581752.1	EC:1.5.1.2
XP_025581762.1	EC:2.3.1.37
XP_025581772.2	EC:3.2.1.21
XP_025581778.1	EC:3.6.4.13
XP_025581780.1	EC:3.4.25.1
XP_025581786.1	EC:2.5.1.47
XP_025581794.1	EC:5.2.1.8
XP_025581799.1	EC:3.6.4.13
XP_025581836.1	EC:2.7.11.26
XP_025581857.1	EC:2.7.11.1
XP_025581857.1	EC:2.7.11.25
XP_025581861.1	EC:2.3.1.199
XP_025581919.1	EC:6.3.5.1
XP_025581930.1	EC:2.3.1.234
XP_025581937.2	EC:2.3.2.27
XP_025581946.1	EC:2.7.2.4
XP_025581948.2	EC:2.7.11.23
XP_025581962.1	EC:6.1.1.1
XP_025581965.2	EC:5.2.1.8
XP_025581982.2	EC:3.6.4.13
XP_025582006.1	EC:2.4.2.9
XP_025582015.2	EC:2.5.1.108
XP_025582055.2	EC:2.7.1.40
XP_025582063.1	EC:1.11.1.15
XP_025582063.1	EC:1.11.1.7
XP_025582070.2	EC:3.2.1.55
XP_025582250.2	EC:3.6.3.44
XP_025582349.2	EC:3.2.1.23
XP_025582352.1	EC:3.5.99.6
XP_025582397.2	EC:1.6.99.3
XP_025582397.2	EC:1.6.5.3
XP_025582435.1	EC:3.2.1.73
XP_025582488.2	EC:2.7.7.6
XP_025582510.1	EC:4.2.1.3
XP_025582529.1	EC:2.3.1.61
XP_025582551.1	EC:1.8.1.4
XP_025582563.1	EC:4.1.1.1
XP_025582570.1	EC:2.3.2.27
XP_025582584.1	EC:3.1.3.16
XP_025582587.2	EC:1.3.1.42
XP_025582629.2	EC:1.14.99.29
XP_025582640.1	EC:3.6.4.13
XP_025582669.2	EC:2.6.1.1
XP_025582685.1	EC:3.4.21.53
XP_025582688.1	EC:5.3.3.2
XP_025582717.1	EC:1.1.1.28
XP_025582723.1	EC:5.2.1.8
XP_025582754.1	EC:1.3.8.1
XP_025582760.1	EC:2.4.1.258
XP_025582761.1	EC:1.4.3.3
XP_025582772.1	EC:2.3.2.27
XP_025582778.1	EC:1.4.3.5
XP_025582779.1	EC:2.7.7.48
XP_025582789.1	EC:2.1.1.98
XP_025582799.2	EC:3.1.3.16
XP_025582805.1	EC:2.4.1.1
XP_025582806.1	EC:2.7.11.24
XP_025582811.1	EC:3.6.4.13
XP_025582834.1	EC:4.2.1.33
XP_025582844.1	EC:1.1.1.41
XP_025582847.1	EC:3.5.2.3
XP_025582849.2	EC:2.7.7.7
XP_025582849.2	EC:3.6.4.12
XP_025582852.1	EC:1.5.1.20
XP_025582865.1	EC:2.3.2.27
XP_025582874.1	EC:6.3.5.5
XP_025582898.2	EC:3.1.3.7
XP_025582922.1	EC:2.6.1.42
XP_025582935.1	EC:1.8.4.12
XP_025582960.1	EC:4.4.1.5
XP_025582988.1	EC:2.7.1.11
XP_025582993.1	EC:6.3.2.6
XP_025583003.1	EC:2.8.1.8
XP_025583011.1	EC:5.1.99.6
XP_025583037.1	EC:2.3.1.97
XP_025583043.1	EC:3.2.1.4
XP_025583049.1	EC:2.7.7.48
XP_025583051.1	EC:2.7.11.1
XP_025583076.1	EC:2.5.1.21
XP_025583118.1	EC:1.3.5.1
XP_025583144.1	EC:2.3.1.9
XP_025583163.2	EC:2.1.2.11
XP_025583172.1	EC:2.7.6.1
XP_025583181.1	EC:4.2.2.2
XP_025583188.1	EC:1.1.1.3
XP_025583194.1	EC:3.1.3.11
XP_025583203.1	EC:2.7.11.1
XP_025583228.1	EC:1.6.99.3
XP_025583228.1	EC:1.6.5.3
XP_025583241.1	EC:2.1.1.201
XP_025583246.1	EC:1.6.5.3
XP_025583282.1	EC:2.3.2.27
XP_025583288.1	EC:2.4.1.12
XP_025583288.1	EC:1.1.1.34
XP_025583423.2	EC:3.2.1.20
XP_025583478.2	EC:2.7.7.18
XP_025583479.1	EC:4.2.1.47
XP_025583516.2	EC:3.6.4.12
XP_025583517.2	EC:5.99.1.2
XP_025583579.1	EC:2.7.4.9
XP_025583580.1	EC:3.5.1.10
XP_025583591.1	EC:2.5.1.61
XP_025583601.2	EC:4.1.1.50
XP_025583608.1	EC:3.5.1.49
XP_025583767.1	EC:4.1.1.1
XP_025583850.1	EC:3.2.1.17
XP_025583852.1	EC:3.2.1.17
XP_025583973.2	EC:1.4.3.3
XP_025584131.1	EC:3.1.2.1
XP_025584204.1	EC:2.5.1.54
XP_025584211.1	EC:3.6.3.6
XP_025584225.1	EC:2.1.2.1
XP_025584227.1	EC:1.4.4.2
XP_025584271.1	EC:4.4.1.17
XP_025584279.1	EC:3.5.1.25
XP_025584281.1	EC:3.5.99.6
XP_025584285.1	EC:1.7.1.4
XP_025584309.1	EC:1.5.5.1
XP_025584328.1	EC:2.6.1.2
XP_025584330.2	EC:2.1.1.56
XP_025584336.1	EC:3.2.2.23
XP_025584337.1	EC:4.1.99.12
XP_025584343.1	EC:2.4.2.28
XP_025584358.2	EC:2.7.11.23
XP_025584390.1	EC:1.2.1.11
XP_025584391.2	EC:2.3.2.27
XP_025584422.1	EC:1.8.4.8
XP_025584423.1	EC:3.1.3.3
XP_025584425.1	EC:2.3.1.225
XP_025584444.1	EC:6.2.1.3
XP_025584449.1	EC:2.7.1.30
XP_025584460.2	EC:2.3.2.23
XP_025584499.1	EC:1.2.1.3
XP_025584500.1	EC:3.6.4.13
XP_025584516.1	EC:3.2.1.20
XP_025584519.1	EC:2.1.1.71
XP_025584520.1	EC:6.1.1.10
XP_025584529.1	EC:1.2.4.4
XP_025584538.1	EC:2.7.11.1
XP_025584558.1	EC:3.6.4.13
XP_025584577.1	EC:3.6.4.13
XP_025584594.1	EC:1.11.1.15
XP_025584597.1	EC:2.7.1.33
XP_025584609.1	EC:2.7.11.1
XP_025584622.1	EC:2.3.3.9
XP_025584623.1	EC:2.7.11.1
XP_025584626.2	EC:2.4.1.64
XP_025584638.1	EC:4.2.1.2
XP_025584642.1	EC:2.7.7.6
XP_025584657.1	EC:2.7.11.11
XP_025584659.2	EC:2.7.11.1
XP_025584698.2	EC:2.3.2.27
XP_025584708.2	EC:5.2.1.8
XP_025584731.1	EC:3.2.1.177
XP_025584815.1	EC:6.1.1.22
XP_025584828.1	EC:2.7.7.4
XP_025584833.1	EC:2.1.1.211
XP_025584853.1	EC:2.7.7.6
XP_025584864.2	EC:2.7.11.1
XP_025584879.2	EC:2.3.1.225
XP_025584916.1	EC:1.1.1.14
XP_025584917.1	EC:1.1.1.100
XP_025584925.2	EC:3.1.3.48
XP_025584943.1	EC:3.6.4.13
XP_025584944.1	EC:1.2.4.1
XP_025584945.1	EC:2.1.1.41
XP_025585048.2	EC:3.6.1.3
XP_025585058.1	EC:3.1.1.74
XP_025585065.1	EC:3.2.1.4
XP_025585117.1	EC:3.5.4.3
XP_025585157.1	EC:4.2.2.2
XP_025585186.1	EC:3.2.1.99
XP_025585245.1	EC:3.2.1.99
XP_025585271.1	EC:1.2.1.88
XP_025585322.1	EC:4.2.2.10
XP_025585334.2	EC:2.7.11.22
XP_025585334.2	EC:2.7.11.23
XP_025585343.2	EC:1.1.2.4
XP_025585388.2	EC:1.11.1.15
XP_025585404.2	EC:3.2.1.15
XP_025585437.1	EC:1.1.1.2
XP_025585467.2	EC:2.7.1.30
XP_025585469.1	EC:1.1.5.3
XP_025585487.1	EC:3.2.1.23
XP_025585571.1	EC:3.1.1.83
XP_025585572.1	EC:3.2.1.23
XP_025585616.1	EC:3.1.27.1
XP_025585620.2	EC:2.7.7.48
XP_025585644.1	EC:3.2.1.21
XP_025585666.1	EC:3.1.1.11
XP_025585672.1	EC:3.2.1.21
XP_025585697.1	EC:3.4.23.18
XP_025585711.1	EC:3.2.1.21
XP_025585732.1	EC:3.1.1.74
XP_025585738.1	EC:3.2.1.20
XP_025585757.2	EC:2.7.13.3
XP_025585816.1	EC:4.2.3.6
XP_025585825.1	EC:1.6.2.2
XP_025585847.1	EC:1.1.3.9
XP_025585903.1	EC:3.2.1.8
XP_025585908.1	EC:3.2.1.91
XP_025585908.1	EC:3.2.1.4
XP_025585909.2	EC:3.2.1.139
XP_025586089.1	EC:3.2.1.73
XP_025586117.1	EC:3.2.1.55
XP_025586139.1	EC:2.1.1.43
XP_025586141.1	EC:2.1.1.33
XP_025586165.1	EC:3.2.1.21
XP_025586173.1	EC:1.11.1.21
XP_025586176.1	EC:1.1.1.100
XP_025586183.1	EC:3.1.1.5
XP_025586203.1	EC:3.2.1.20
XP_025586214.1	EC:3.2.1.23
XP_025586218.1	EC:4.2.2.2
XP_025586228.1	EC:1.5.1.2
XP_025586301.2	EC:1.13.12.4
XP_025586311.2	EC:2.7.2.3
XP_025586319.1	EC:3.4.21.89
XP_025586350.1	EC:3.6.4.13
XP_025586378.1	EC:2.7.11.1
XP_025586421.1	EC:2.7.1.6
XP_025586427.1	EC:1.14.13.70
XP_025586440.1	EC:2.3.1.50
XP_025586462.1	EC:6.1.1.17
XP_025586470.1	EC:1.6.5.9
XP_025586471.2	EC:3.7.1.3
XP_025586472.2	EC:3.6.4.13
XP_025586500.1	EC:6.5.1.1
XP_025586518.1	EC:2.3.1.12
XP_025586542.1	EC:1.2.1.8
XP_025586550.2	EC:6.1.1.11
XP_025586605.1	EC:2.3.1.16
XP_025586609.2	EC:1.1.1.14
XP_025586616.2	EC:2.3.1.48
XP_025586620.1	EC:2.3.2.27
XP_025586660.2	EC:3.6.4.12
XP_025586675.1	EC:2.4.1.18
XP_025586680.1	EC:1.2.4.2
XP_025586690.1	EC:3.2.1.4
XP_025586694.1	EC:3.5.1.98
XP_025586705.2	EC:6.2.1.3
XP_025586726.2	EC:3.6.4.13
XP_025586736.1	EC:6.3.4.19
XP_025586791.1	EC:3.6.4.12
XP_025586793.1	EC:3.4.25.1
XP_025586802.1	EC:4.3.2.1
XP_025586837.2	EC:2.7.13.3
XP_025586848.1	EC:1.15.1.1
XP_025586852.1	EC:1.14.12.17
XP_025586876.1	EC:5.3.1.8
XP_025586879.1	EC:2.7.11.22
XP_025586879.1	EC:2.7.11.23
XP_025586968.1	EC:6.1.1.17
XP_025586968.1	EC:6.1.1.18
XP_025586983.1	EC:2.7.11.1
XP_025586998.2	EC:6.1.1.12
XP_025587093.2	EC:3.2.1.8
XP_025587099.2	EC:2.7.11.1
XP_025587109.1	EC:3.2.1.20
XP_025587145.1	EC:3.2.1.21
XP_025587294.2	EC:3.5.1.4
XP_025587297.2	EC:3.2.1.23
XP_025587429.2	EC:3.2.1.21
XP_025587440.1	EC:6.1.1.2
XP_025587446.1	EC:3.6.4.13
XP_025587454.1	EC:1.2.1.3
XP_025587500.1	EC:2.3.1.31
XP_025587511.1	EC:4.1.3.1
XP_025587512.1	EC:2.3.3.5
XP_025587512.1	EC:2.3.3.16
XP_025587515.2	EC:2.5.1.18
XP_025587520.2	EC:3.2.1.21
XP_025587551.2	EC:3.4.13.19
XP_025587563.2	EC:3.6.4.12
XP_025587571.2	EC:1.1.1.47
XP_025587627.1	EC:2.8.1.6
XP_025587629.1	EC:2.3.1.48
XP_025587648.1	EC:4.3.1.19
XP_025587650.1	EC:2.5.1.87
XP_025587669.2	EC:2.3.2.27
XP_025587679.1	EC:2.5.1.46
XP_025587686.1	EC:6.2.1.1
XP_025587719.1	EC:2.1.1.297
XP_025587725.1	EC:2.7.11.1
XP_025587731.1	EC:3.4.25.1
XP_025587742.1	EC:1.6.99.3
XP_025587756.1	EC:5.4.2.2
XP_025587782.1	EC:2.7.11.1
XP_025587791.2	EC:1.5.1.15
XP_025587795.1	EC:2.5.1.6
XP_025587806.1	EC:2.7.11.1
XP_025587820.1	EC:2.3.2.27
XP_025587822.1	EC:3.6.1.7
XP_025587837.1	EC:2.3.2.27
XP_025587849.2	EC:2.7.11.1
XP_025587856.1	EC:2.5.1.54
XP_025587857.1	EC:5.2.1.8
XP_025587868.1	EC:1.2.1.27
XP_025587871.1	EC:4.2.1.109
XP_025587874.2	EC:3.6.1.1
XP_025587880.1	EC:2.7.1.1
XP_025587888.2	EC:3.6.3.8
XP_025587902.1	EC:2.7.7.9
XP_025587921.1	EC:3.6.3.44
XP_025587923.1	EC:3.1.3.48
XP_025587929.1	EC:3.6.4.12
XP_025587929.1	EC:3.6.4.13
XP_025587932.1	EC:3.6.4.12
XP_025587945.1	EC:3.4.25.1
XP_025587954.1	EC:3.2.1.91
XP_025587971.2	EC:3.1.1.89
XP_025587973.2	EC:5.1.3.1
XP_025587993.1	EC:2.4.1.109
XP_025588024.1	EC:2.5.1.108
XP_025588041.1	EC:3.6.4.12
XP_025588045.1	EC:1.1.1.14
XP_025588045.1	EC:1.1.1.12
XP_025588060.1	EC:1.3.1.89
XP_025588072.2	EC:2.7.11.1
XP_025588081.2	EC:6.3.2.17
XP_025588086.2	EC:6.1.1.5
XP_025588103.2	EC:2.7.11.1
XP_025588112.1	EC:1.1.2.4
XP_025588131.1	EC:2.4.2.7
XP_025588137.2	EC:2.3.2.27
XP_025588151.1	EC:2.4.1.12
XP_025588181.1	EC:3.2.1.21
XP_025588192.1	EC:5.2.1.8
XP_025588208.1	EC:2.7.11.1
XP_025588232.1	EC:1.8.4.11
XP_025588252.1	EC:3.1.1.45
XP_025588276.1	EC:3.1.3.16
XP_025588292.1	EC:1.1.1.205
XP_025588294.1	EC:3.4.24.64
XP_025588296.1	EC:1.1.1.23
XP_025588296.1	EC:3.5.4.19
XP_025588301.1	EC:1.8.1.9
XP_025588302.2	EC:2.7.7.23
XP_025588307.1	EC:3.6.4.13
XP_025588315.1	EC:2.3.2.27
XP_025588316.1	EC:5.2.1.8
XP_025588328.1	EC:2.7.7.6
XP_025588343.2	EC:6.1.1.7
XP_025588348.1	EC:3.2.2.27
XP_025588359.1	EC:3.6.4.10
XP_025588369.1	EC:1.6.2.2
XP_025588371.2	EC:3.1.3.16
XP_025588392.1	EC:5.2.1.8
XP_025588410.1	EC:2.4.1.198
XP_025588411.2	EC:3.6.4.13
XP_025588420.2	EC:2.1.2.3
XP_025588434.2	EC:1.1.1.79
XP_025588444.1	EC:1.2.1.3
XP_025588470.1	EC:1.14.13.70
XP_025588489.2	EC:2.7.1.12
XP_025588506.1	EC:2.1.1.45
XP_025588524.1	EC:2.3.2.27
XP_025588537.2	EC:5.2.1.8
XP_025588548.1	EC:4.2.1.93
XP_025588559.1	EC:3.6.3.14
XP_025588571.1	EC:5.2.1.8
XP_025588587.1	EC:2.8.1.9
XP_025588613.1	EC:5.4.2.3
XP_025588622.1	EC:1.2.1.88
XP_025588633.1	EC:2.1.2.10
XP_025588642.1	EC:3.4.25.1
XP_025588662.1	EC:4.4.1.1
XP_025588674.1	EC:2.7.11.1
XP_025588697.1	EC:3.6.4.13
XP_025588697.1	EC:3.6.4.12
XP_025588729.2	EC:3.4.25.1
XP_025588733.1	EC:3.1.1.3
XP_025588738.1	EC:1.11.1.5
XP_025588743.1	EC:6.1.1.3
XP_025588754.2	EC:2.3.2.27
XP_025588768.1	EC:2.4.1.12
XP_025588819.1	EC:2.7.11.1
XP_025588838.1	EC:2.7.1.25
XP_025588845.1	EC:3.6.4.12
XP_025588858.1	EC:4.2.1.11
XP_025588865.1	EC:3.5.1.98
XP_025588869.1	EC:3.6.4.13
XP_025588873.2	EC:4.1.1.37
XP_025588876.1	EC:2.4.2.17
XP_025588908.1	EC:1.1.1.87
XP_025588911.1	EC:1.14.13.9
XP_025588912.1	EC:3.4.11.18
XP_025588924.1	EC:5.2.1.8
XP_025588928.1	EC:2.3.1.225
XP_025588936.1	EC:2.5.1.49
XP_025588942.1	EC:2.3.3.16
XP_025588947.1	EC:3.6.3.6
XP_025588975.1	EC:6.1.1.20
XP_025589002.2	EC:3.6.4.6
XP_025589002.2	EC:3.6.4.3
XP_025589032.1	EC:2.3.2.23
XP_025589033.2	EC:2.7.11.1
XP_025589041.1	EC:1.9.3.1
XP_025589063.1	EC:2.4.1.109
XP_025589065.1	EC:2.7.7.6
XP_025589074.1	EC:3.6.4.13
XP_025589091.1	EC:2.6.1.7
XP_025589099.1	EC:2.3.2.27
XP_025589105.1	EC:2.6.1.11
XP_025589147.1	EC:3.1.3.48
XP_025589189.1	EC:4.2.3.5
XP_025589251.2	EC:3.1.3.25
XP_025589278.1	EC:5.1.1.4
XP_025589289.1	EC:3.3.2.9
XP_025589296.1	EC:6.2.1.1
XP_025589339.2	EC:1.5.3.1
XP_025589368.1	EC:2.1.1.144
XP_025589372.1	EC:1.2.1.27
XP_025589418.1	EC:3.4.19.12
XP_025589437.1	EC:2.3.2.27
XP_025589488.2	EC:1.18.1.6
XP_025589494.1	EC:4.4.1.8
XP_025589503.1	EC:2.3.1.1
XP_025589514.1	EC:1.7.1.3
XP_025589543.1	EC:3.1.3.25
XP_025589548.1	EC:2.3.2.27
XP_025589611.1	EC:3.6.4.12
XP_025589613.1	EC:6.2.1.5
XP_025589627.2	EC:2.3.1.48
XP_025589637.2	EC:1.15.1.1
XP_025589642.1	EC:4.2.1.9
XP_025589660.1	EC:2.7.1.23
XP_025589661.1	EC:3.1.1.5
XP_025589728.1	EC:1.6.2.2
XP_025589751.1	EC:1.2.1.3
XP_025589756.1	EC:1.1.1.1
XP_025589756.1	EC:1.1.1.2
XP_025589800.1	EC:3.5.3.11
XP_025589879.1	EC:1.2.1.3
XP_025589913.2	EC:6.2.1.3
XP_025589913.2	EC:3.1.13.4
XP_025589913.2	EC:2.7.7.48
XP_025589956.1	EC:2.3.3.16
XP_025589993.1	EC:4.2.2.2
XP_025590000.2	EC:3.2.1.20
XP_025590002.1	EC:1.2.1.3
XP_025590034.1	EC:3.2.1.4
XP_025590085.1	EC:3.6.4.12
XP_025590112.1	EC:2.7.11.1
XP_025590125.1	EC:1.14.19.20
XP_025590128.1	EC:1.1.1.37
XP_025590141.1	EC:3.1.1.3
XP_025590151.2	EC:2.4.1.265
XP_025590182.2	EC:6.1.1.18
XP_025590187.2	EC:2.7.7.6
XP_025590189.1	EC:3.4.24.64
XP_025590190.1	EC:2.3.2.27
XP_025590193.1	EC:2.1.1.43
XP_025590205.1	EC:2.7.7.7
XP_025590237.2	EC:1.13.11.54
XP_025590241.2	EC:3.4.11.9
XP_025590263.2	EC:3.6.4.12
XP_025590277.2	EC:3.2.1.21
XP_025590285.2	EC:3.6.4.13
XP_025590288.2	EC:3.4.19.12
XP_025590306.2	EC:3.2.1.4
XP_025590312.2	EC:3.6.5.n1
XP_025590326.2	EC:3.6.3.6
XP_025590326.2	EC:3.6.3.8
XP_025590370.1	EC:4.2.1.9
XP_025590389.2	EC:3.6.4.13
XP_025590413.1	EC:1.13.99.1
XP_025590414.1	EC:3.6.4.13
XP_025590431.1	EC:4.1.2.13
XP_025590441.1	EC:2.1.1.43
XP_025590474.2	EC:2.7.7.89
XP_025590475.1	EC:3.6.4.13
XP_025590484.1	EC:1.1.1.47
XP_025590490.1	EC:2.3.2.27
XP_025590497.1	EC:3.2.1.28
XP_025590498.1	EC:4.1.3.30
XP_025590498.1	EC:4.1.3.1
XP_025590499.2	EC:2.7.11.1
XP_025590506.1	EC:2.7.12.2
XP_025590542.1	EC:6.3.5.4
XP_025590543.1	EC:2.3.2.23
XP_025590548.1	EC:5.5.1.4
XP_025590604.1	EC:6.3.2.2
XP_025590623.1	EC:4.1.1.65
XP_025590657.1	EC:2.7.11.1
XP_025590670.1	EC:2.8.1.7
XP_025590688.2	EC:2.7.11.1
XP_025590704.1	EC:4.2.1.24
XP_025590712.1	EC:3.6.4.13
XP_025590725.1	EC:2.5.1.29
XP_025590748.1	EC:1.1.1.86
XP_025590751.1	EC:1.2.1.41
XP_025590774.2	EC:6.1.1.2
XP_025590779.1	EC:3.4.16.6
XP_025590799.1	EC:2.3.2.27
XP_025590831.1	EC:3.3.2.6
XP_025590844.1	EC:1.1.1.284
XP_025590855.1	EC:2.7.1.39
XP_025590873.1	EC:2.7.11.1
XP_025590876.1	EC:1.6.99.3
XP_025590876.1	EC:1.6.5.3
XP_025590883.1	EC:3.1.3.16
XP_025590894.1	EC:2.5.1.16
XP_025590902.1	EC:3.4.25.1
XP_025590912.1	EC:1.6.5.3
XP_025590917.2	EC:2.3.2.26
XP_025590925.1	EC:6.3.1.2
XP_025590944.1	EC:3.4.19.12
XP_025590965.1	EC:2.7.11.24
XP_025590973.1	EC:3.4.11.18
XP_025591003.1	EC:1.1.1.42
XP_025591009.1	EC:5.2.1.8
XP_025591032.1	EC:1.14.19.17
XP_025591052.2	EC:3.6.4.13
XP_025591089.2	EC:4.1.1.33
XP_025591225.1	EC:2.7.7.6
XP_025591242.2	EC:2.7.4.14
XP_025591367.1	EC:3.2.1.99
XP_025591368.1	EC:3.2.1.78
XP_025591484.1	EC:4.2.2.10
XP_025591488.1	EC:4.2.2.2
XP_025591507.1	EC:1.1.1.85
XP_025591509.1	EC:4.1.1.21
XP_025591524.1	EC:2.5.1.129
XP_025591524.1	EC:2.5.1.78
XP_025591553.1	EC:3.1.1.5
XP_025591650.2	EC:3.6.4.12
XP_025591766.1	EC:1.1.1.138
XP_025591769.2	EC:3.7.1.3
XP_025591781.2	EC:3.2.1.78
XP_025591784.2	EC:3.2.1.25
XP_025591800.1	EC:4.2.2.2
XP_025591886.2	EC:2.5.1.47
XP_025591946.1	EC:1.6.2.2
XP_025591956.1	EC:3.2.1.21
XP_025591963.1	EC:3.6.3.8
XP_025591966.1	EC:1.1.1.9
XP_025591992.1	EC:3.2.1.21
XP_025591999.2	EC:2.7.11.1
XP_025592043.1	EC:1.2.1.38
XP_025592081.1	EC:2.7.7.48
XP_025592090.1	EC:2.3.2.27
XP_025592093.2	EC:1.1.1.8
XP_025592098.1	EC:2.8.1.11
XP_025592098.1	EC:2.7.7.80
XP_025592103.1	EC:3.5.99.7
XP_025592106.1	EC:4.3.3.6
XP_025592107.1	EC:4.3.3.6
XP_025592107.1	EC:3.5.1.2
XP_025592127.1	EC:5.3.1.23
XP_025592142.1	EC:3.6.4.13
XP_025592143.1	EC:5.2.1.8
XP_025592146.1	EC:1.14.13.22
XP_025592162.1	EC:1.1.1.330
XP_025592164.1	EC:2.7.7.12
XP_025592170.2	EC:2.7.11.1
XP_025592175.1	EC:2.6.1.19
XP_025592180.2	EC:2.1.1.43
XP_025592216.1	EC:2.1.1.79
XP_025592236.1	EC:1.3.5.1
XP_025592237.1	EC:3.1.3.16
XP_025592241.1	EC:3.3.1.1
XP_025592249.1	EC:3.4.14.5
XP_025592250.1	EC:3.2.1.28
XP_025592262.1	EC:3.4.25.1
XP_025592267.1	EC:3.1.3.15
XP_025592270.1	EC:2.4.2.29
XP_025592307.1	EC:2.6.1.13
XP_025592313.1	EC:5.3.1.24
XP_025592313.1	EC:4.1.1.48
XP_025592337.2	EC:2.3.2.27
XP_025592352.1	EC:2.7.7.59
XP_025592352.1	EC:2.7.7.89
XP_025592374.1	EC:2.7.11.1
XP_025592392.1	EC:3.4.23.24
XP_025592410.1	EC:1.2.4.1
XP_025592419.1	EC:3.5.3.11
XP_025592465.1	EC:1.17.4.1
XP_025592473.1	EC:5.2.1.8
XP_025592473.1	EC:2.3.2.27
XP_025592483.1	EC:2.3.2.27
XP_025592485.1	EC:2.7.11.23
XP_025592519.1	EC:3.4.25.1
XP_025592561.1	EC:1.1.2.3
XP_025592562.1	EC:3.6.4.12
XP_025592578.1	EC:4.99.1.1
XP_025592615.1	EC:1.1.1.31
XP_025592618.1	EC:3.1.3.16
XP_025592651.1	EC:6.1.1.15
XP_025592674.2	EC:3.2.1.20
XP_025592682.1	EC:3.2.2.n1
XP_025592683.1	EC:3.4.25.1
XP_025592696.2	EC:3.6.3.44
XP_025592735.2	EC:1.8.1.7
XP_025592746.2	EC:1.17.4.1
XP_025592770.1	EC:4.1.1.23
XP_025592776.1	EC:3.6.4.12
XP_025592786.1	EC:3.6.1.42
XP_025592795.1	EC:2.7.11.1
XP_025592796.1	EC:2.3.2.23
XP_025592823.1	EC:3.6.4.13
XP_025592842.1	EC:2.1.1.233
XP_025592845.1	EC:2.3.2.23
XP_025592846.1	EC:2.3.1.9
XP_025592877.1	EC:1.11.1.6
XP_025592884.2	EC:3.1.3.25
XP_025592885.1	EC:4.2.1.10
XP_025592901.1	EC:4.2.3.1
XP_025592927.1	EC:1.1.1.41
XP_025592928.1	EC:2.7.11.1
XP_025592934.1	EC:2.1.1.41
XP_025592960.1	EC:2.7.11.1
XP_025592972.1	EC:2.7.11.1
XP_025593005.1	EC:4.2.1.66
XP_025593033.1	EC:1.2.1.3
XP_025593048.1	EC:1.1.1.17
XP_025593049.1	EC:5.3.1.9
XP_025593052.1	EC:2.7.11.13
XP_025593062.1	EC:3.5.4.16
XP_025593066.1	EC:3.6.4.13
XP_025593112.1	EC:2.3.1.225
XP_025593118.1	EC:3.4.24.84
XP_025593121.1	EC:4.1.1.17
XP_025593143.1	EC:2.4.2.30
